Partner Name;Augsburg;Bad Soden-Salmünster;Bamberg;Bayreuth;Berlin;Bielefeld;Braunschweig;Bremen;Darmstadt;Deggendorf;Dortmund;Dresden;Duisburg;Düsseldorf;Erfurt;Hamburg;Heidenheim;Kassel;Mannheim;Memmingen;Nürnberg;Regensburg;Stuttgart;Villingen-Schwenningen
AO 1;55.92752730537358;282.540606105095;194.85590486474982;193.08844870925327;495.79757595965543;476.70900280229256;457.92226067277176;576.7572984890063;284.9683941535222;121.59713894773773;473.4326758061042;351.43456805847273;500.71244935743186;483.95897909662403;311.0890756858723;605.154804248761;120.01352651862979;377.8093321153355;271.377504961409;109.41272846708478;144.16837532783416;97.19365824553529;190.73428859391547;232.64365859783422
August Becker GmbH & Co. KG 1;353.0148649496835;124.34867966791708;240.16341887298475;282.66722796928985;424.232271544128;136.87948919013706;242.03111031576108;255.40437125432226;122.7625934903118;429.93218215698545;78.46257961727227;413.13516963102524;100.73015168120618;86.76966176148994;222.86232813290033;333.49060367504995;293.00812402217;123.65507328943299;157.87690047247003;360.531758923634;277.431986419044;365.9701082418104;249.61291828229903;313.8537142907416
August Kiel Reisen GmbH 1;278.46223158161877;61.14322544301176;124.75768002678214;156.91440325530886;316.82047192402746;163.5329022390815;174.77478948831808;265.9352256772918;127.65996062626141;313.7397925650785;182.4323283203705;280.0213591588251;224.53860431556078;217.21285064218026;90.92309150071024;310.5066382674023;233.57096746375626;64.428392629469;170.01779143588206;310.1185382335714;172.5722923706237;255.46920244445934;224.95510984589018;314.45199416743077
Bader Reisen GmbH 1;120.0156709193781;190.2864969092244;186.90704626805203;225.06049515084624;525.7501912356555;386.61284132664025;419.9740373007721;502.4936148209901;152.52766720218867;270.77848367072005;352.99044318510977;421.64259849906904;367.1775075063256;346.7156949902367;295.20113042778735;556.2202804081985;63.65827157097666;304.92831244496216;119.21956186676293;91.85111919685045;162.728680181798;211.19006185188624;24.95356260750634;82.35051389950335
Bakker Travel 1;633.8160413582876;405.0566525768024;517.1285578568626;554.3598494902409;584.4548260904152;263.1934965016712;392.4232107180414;279.0415566522172;399.7658697458499;708.3841524825181;215.7355776436085;639.2824661464881;181.84102843591936;199.0483623767789;464.42815431271555;368.93665678676876;571.8801896510031;350.22378905480326;424.7706564453763;634.0545363644715;558.1606326672281;646.146625598015;519.3513617918142;561.5839277486048
BBK - Busse Bahnen Kurpfalz GmbH & Co KG 1;199.49746460888514;109.57643361581447;168.633799310259;217.65727121954762;478.9610769134865;290.2960082784427;343.8539709220676;408.7392875149169;52.31257068844384;319.05046893585165;250.1497561458423;404.7796449024495;263.9635022255411;243.79756912893004;242.6316873364661;470.49198037611546;134.72454014105725;219.52617148079426;18.0620051325017;192.4674702413394;174.15725846216813;252.76718891627033;78.52603988525456;149.56327801153415
Baron-Reisen 1;314.10935037181866;220.37182152873638;304.9435546097556;354.44186645824925;592.067488401833;336.2448524992659;430.30714852397927;453.6857727652643;152.9692011540582;451.55411864244036;262.09890622121867;536.2616486356047;249.1584902689186;225.82623044616486;360.9958847172734;532.8382748421396;251.4545187549424;302.2594707856078;124.65590235315523;282.5228691302323;311.3565359300227;386.33418262300023;179.40400723875564;176.71490715334994
Verkehrsunternehmen Beer e.K. 1;107.60800683773866;210.71530784282274;101.54743359216015;87.44247714621042;390.9506256527393;389.012777267732;355.3054344858772;480.93400326901514;236.52987092385447;97.27221785275351;400.6497820043061;254.24010423998408;434.9617080501029;421.50812605239213;208.02443093443438;502.7343243606508;127.64690442429801;287.8118386450117;239.9754381654859;173.71313261521908;57.48430064866873;31.177950359724594;191.5706532600942;268.09875072152687
Bentheimer Eisenbahn AG 1;524.1427291398478;284.59292840110635;385.4420163483006;416.310087787528;428.53337644826104;108.54520852045464;234.96547134011877;138.44828865852958;301.8139846712907;574.5172222740421;102.03299400733515;483.45060183137434;109.76085120348166;132.49169743979212;315.2561320736675;233.89688722390167;467.75542281015504;204.6579481048713;338.084049520754;538.3240137198464;431.4230767239377;516.2970747773868;429.3276420948846;492.8058664503168
Besseling Travel BV 1;574.7569209857463;346.08679062732574;458.70829030787723;496.67614591875883;543.4870262908491;213.86801799702297;348.29287849149944;249.97597201462335;340.85645138882535;649.9132754170034;157.93197339279962;588.4394503654418;122.64931396917106;140.14247458418055;409.93162059620494;344.0512656501079;512.9953279587307;295.2816300338314;366.6885647570576;575.8177685474358;499.2780187441465;587.3796887774047;461.3376453712606;506.2692641429061
