Type,location,nr_people,lat,long
Stop,Augsburg,3.0,48.3668041,10.8986971
Stop,Bad Soden-Salmünster,1.0,50.2801792,9.3704249
Stop,Bamberg,4.0,49.8926723,10.8876149
Stop,Bayreuth,6.0,49.9427202,11.5763079
Stop,Berlin,1.0,52.5170365,13.3888599
Stop,Bielefeld,9.0,52.010877,8.540868
Stop,Braunschweig,6.0,52.2639962,10.5252669
Stop,Bremen,4.0,53.0758196,8.8071646
Stop,Darmstadt,7.0,49.872775,8.651177
Stop,Deggendorf,5.0,48.8333535,12.96205
Stop,Dortmund,7.0,51.5142273,7.4652789
Stop,Dresden,2.0,51.0493286,13.7381437
Stop,Duisburg,8.0,51.434999,6.759562
Stop,Düsseldorf,6.0,51.2254018,6.7763137
Stop,Erfurt,3.0,50.9777974,11.0287364
Stop,Hamburg,5.0,53.550341,10.000654
Stop,Heidenheim,6.0,48.6767637,10.152923
Stop,Kassel,3.0,51.3090209,9.4762981
Stop,Mannheim,8.0,49.489591,8.467236
Stop,Memmingen,3.0,47.9867696,10.181319
Stop,Nürnberg,5.0,49.453872,11.077298
Stop,Regensburg,4.0,49.0195333,12.0974869
Stop,Stuttgart,4.0,48.7784485,9.1800132
Stop,Villingen-Schwenningen,5.0,48.0632739,8.494588
Sink,Sink,,50.8180719,9.5229998
