Partner Name|Status of partner|Line Partner|Partner Email|Phone Number|Vehicles Given|Capacity of Smallest Vehicle Given|Capacity of Biggest Vehicle Given|Depot 1 Name|Depot 1 Street|Depot 1 ZIP|Depot 1 City|Depot 1 Country|Depot 1 Latitude|Depot 1 Longitude|Depot 2 Name|Depot 2 Street|Depot 2 ZIP|Depot 2 City|Depot 2 Country|Depot 2 Latitude|Depot 2 Longitude|Depot 3 Name|Depot 3 Street|Depot 3 ZIP|Depot 3 City|Depot 3 Country|Depot 3 Latitude|Depot 3 Longitude|Depot 4 Name|Depot 4 Street|Depot 4 ZIP|Depot 4 City|Depot 4 Country|Depot 4 Latitude|Depot 4 Longitude|
"Albus Salzkraft GmbH, Salzburg & Innsbruck|CHARTER_PARTNER|Yes|bus@albus.at|+4366242400039 / Grüne Busse +4989590687717|44|7|78|Salzburg||05020|Salzburg|Austria|47.805546|13.013093|Innsbruck||06010|Innsbruck|Austria|47.2854551|11.3787899|München||80335|München|Germany|48.1469199|11.553117|||||||"
AO|EX_PARTNER|Yes|f.scherber@autobusoberbayern.de|(089)32304242|50|15|78|Zentrale||80939|München|Germany|48.206656|11.6131066|||||||||||||||||||||
August Becker GmbH & Co. KG|CHARTER_PARTNER|Yes|info@august-becker.de|(02734)61224|2|44|53|Zentrale||57572|Niederfischbach|Germany|50.8552885|7.865322|||||||||||||||||||||
August Kiel Reisen GmbH|CHARTER_PARTNER|Yes|bus@kielreisen.de|+496672204|9|8|58|Zentrale|Pappelallee|36132|Eiterfeld|Germany|50.7630034|9.7824713|||||||||||||||||||||
Bader Reisen GmbH|CHARTER_PARTNER|Yes|stanger@bader-reisen.de|07123933452|9|19|78|Zentrale|Albstraße|72661|Grafenberg|Germany|48.5697839|9.30464|||||||||||||||||||||
Bakker Travel|CHARTER_PARTNER|Yes|info@bakkertravel.nl|+31 75 6217537|50|8|85|Zentrale|Loodsweg|1535RH|Westknollendam|Netherlands|52.5157245|4.7742622|||||||||||||||||||||
BBK - Busse Bahnen Kurpfalz GmbH & Co KG|CHARTER_PARTNER|Yes|kellner@bbk-heidelberg.de|06221782525|14|18|56|Zentrale|Czernyring|69115|Heidelberg|Germany|49.4027473|8.6777085|||||||||||||||||||||
Baron-Reisen|CHARTER_PARTNER|Yes|info@baron-reisen.de|+499809994417|4|19|53|Zentrale|Ziegelei|66352|Großrosseln|Germany|49.1953235|6.8119713|||||||||||||||||||||
Verkehrsunternehmen Beer e.K.|CHARTER_PARTNER_CANDIDATE|No|veronika.beer@beer-bus.de|(09492)6016520|6|26|48|Zentrale||92331|Parsberg|Germany|49.1629539|11.7307018|||||||||||||||||||||
Bentheimer Eisenbahn AG|CHARTER_PARTNER|Yes|soermann@bentheimer-eisenbahn.de|05921803358|60|30|83|Zentrale|Otto-Hahn-Straße|48529|Nordhorn|Germany|52.4006899|7.0853226|||||||||||||||||||||
