Partner Name;lat;long;price_factor;Capacity of Biggest Vehicle Given;Capacity of Smallest Vehicle Given;Vehicles Given
AO 1;48.206656;11.613106599999998;1.0;78.0;15.0;50.0
August Becker GmbH & Co. KG 1;50.8552885;7.865322;1.0;53.0;44.0;2.0
August Kiel Reisen GmbH 1;50.763003399999995;9.782471300000001;1.0;58.0;8.0;9.0
Bader Reisen GmbH 1;48.5697839;9.30464;1.0;78.0;19.0;9.0
Bakker Travel 1;52.5157245;4.7742622;1.0;85.0;8.0;50.0
BBK - Busse Bahnen Kurpfalz GmbH & Co KG 1;49.4027473;8.677708500000001;1.0;56.0;18.0;14.0
Baron-Reisen 1;49.1953235;6.811971300000001;1.0;53.0;19.0;4.0
Verkehrsunternehmen Beer e.K. 1;49.1629539;11.7307018;1.0;48.0;26.0;6.0
Bentheimer Eisenbahn AG 1;52.400689899999996;7.0853226;1.0;83.0;30.0;60.0
Besseling Travel BV 1;52.1674326;5.430721599999999;1.0;82.0;25.0;60.0
BGL Rent e.K. 1;50.9855636;7.1110121;1.0;65.0;41.0;11.0
Blaguss Reisen GmbH 1;48.19712;16.367603;1.0;84.0;8.0;150.0
Reisedienst Bonte GmbH & Co.KG 1;50.9265473;9.226844400000001;1.0;53.0;26.0;12.0
Bösche Reisen 1;51.36230629999999;9.4470815;1.0;53.0;26.0;12.0
Brömmel Omnibusbetrieb 1;53.578444;10.115618800000002;1.0;78.0;16.0;35.0
Reisebüro & Omnibusbetrieb Karsten Brust 1;51.765800899999995;6.8355795;1.0;49.0;0.0;1.0
Bruzzo Express 1;52.6396575;13.527899;1.0;49.0;38.0;4.0
BusArt Tours GmbH 1;50.8576755;7.3414069;1.0;51.0;25.0;5.0
Busworld International GmbH  1;52.4615375;13.404357000000001;1.0;81.0;48.0;13.0
Buteo Busservice Behrendt GmbH & Co. KG 1;49.9527804;8.474942;1.0;59.0;8.0;20.0
Reisebüro und Omnibusunternehmen Cermak e.K. 1;52.3172425;12.6630489;1.0;57.0;49.0;5.0
CP Fahrschultruck (DeKieler) 1;49.6750635;11.6468413;1.0;57.0;8.0;31.0
Dehn Touristik Heinrich Dehn GmbH & Co.KG 1;54.26756949999999;10.4300715;1.0;56.0;40.0;6.0
Dornburg-Reisen GmbH & Co. KG 1;54.0738206;9.9800325;1.0;78.0;6.0;12.0
Duckstein GmbH & Co. KG 1;50.5117342;8.026892;1.0;63.0;8.0;70.0
DUS-BUS (Bergische/ Mesenhohl) 1;52.249643299999995;10.991631300000002;1.0;57.0;22.0;6.0
Ebenbeck-Reisen GmbH 1;51.342797;6.865791499999999;1.0;54.0;30.0;30.0
Eberhardt-Reisen Richard Eberhardt GmbH 1;48.882996;12.573717599999998;1.0;78.0;44.0;15.0
Reisebusunternehmen Maik Eckinger 1;48.631845;12.783603900000001;1.0;78.0;44.0;15.0
Fa. Hermann Edzards 1;48.6375947;12.465397099999999;1.0;78.0;44.0;15.0
Efinger-Reisen 1;48.8301661;8.6521206;1.0;82.0;8.0;12.0
Egenberger GmbH & Co. KG 1;49.022439500000004;8.466537599999999;1.0;82.0;8.0;12.0
Eichberger Reisen GmbH & Co. KG 1;48.941503499999996;8.9587813;1.0;82.0;8.0;12.0
Elite Traffic GmbH 1;51.438235799999994;12.4151825;1.0;56.0;8.0;11.0
Erfmann Reisen GmbH & Co. KG 1;53.6381794;7.631958999999999;1.0;0.0;0.0;0.0
Verkehrsbetrieb Franke GmbH 1;48.465903499999996;11.125031300000002;1.0;76.0;19.0;8.0
Reisebüro Fredrich GmbH 1;48.565416;10.9283949;1.0;57.0;51.0;5.0
Freiburger Reisedienst 1;50.126024900000004;8.576865399999974;1.0;61.0;8.0;100.0
Frenzel-Reisen KG 1;48.5558159;13.409517999999998;1.0;61.0;8.0;100.0
Frölich-Reisen GmbH 1;50.9226711;7.001936200000001;1.0;61.0;8.0;100.0
Reisedienst Fuhrmann 1;52.4496;13.514499999999998;1.0;81.0;19.0;13.0
FÜRST REISEN GmbH & Co KG 1;53.4835475;10.2327285;1.0;81.0;19.0;13.0
Gäke 1;52.083233299999996;7.4695613;1.0;79.0;4.0;5.0
Geißler-Reisen GmbH 1;50.663391499999996;8.490677400000001;1.0;78.0;50.0;4.0
Genthner 1;51.267627000000005;9.554710499999999;1.0;76.0;48.0;5.0
Gläser Reisen 1;47.9887825;7.818457;1.0;78.0;16.0;10.0
Gödde-Reisen oHG 1;53.13452320000001;8.739211300000001;1.0;79.0;21.0;21.0
Gottlieb- Reisen GmbH & Co. KG 1;51.194231;9.7334835;1.0;53.0;48.0;5.0
Retours (Gradliner) 1;51.950213899999994;7.4840157000000005;1.0;54.0;39.0;19.0
Anton Graf GmbH 1;52.507668200000005;13.2860633;1.0;54.0;39.0;19.0
Groeger Reisen GmbH 1;52.302923;10.957717;1.0;54.0;39.0;19.0
